Codul SIRUTA;Denumire UAT;Populatia UAT;Nr. max. posturi cf. pct. 1 din anexa la O.U.G nr. 63/2010;Reducere cu 40% nr. max posturi;Reducere cu 45% nr. max posturi;Posturi pt. evidența populației;Posturi pt. poliţia locală;1 post poliție la 1200 locuitori;Posturi pt. implementare proiecte europene;Posturi pt. șoferi microbuze şcolare;Posturi pt. postimplementare proiecte europene;TOTAL ACTUAL;TOTAL CU REDUCERE 40%;TOTAL CU REDUCERE 45%;POSTURI OCUPATE;Diferență reducere 40% vs. posturi ocupate;Diferență reducere 45% vs. posturi ocupate
21668;Buhoci;5062;30;18;17;0;0;0;0;1;0;31;19;18;24;-5;-7
21720;Caşin;4128;29;17;16;0;4;3;0;0;0;33;21;19;22;-1;-3
21757;Căiuţi;5205;31;19;17;0;5;4;5;0;0;41;28;26;22;6;4
21855;Cleja;6725;40;24;22;0;0;0;0;1;0;41;25;23;24;1;-1
21891;Coloneşti;2306;20;12;11;0;3;2;5;0;0;28;19;18;18;1;0
21971;Corbasca;5397;32;19;18;0;5;4;0;1;0;38;25;23;21;4;2
22059;Coţofăneşti;3589;24;14;13;0;4;3;8;1;0;37;26;25;21;5;4
22111;Dămieneşti;1792;17;10;9;0;3;1;0;0;0;20;12;11;11;1;0
22166;Dărmăneşti;14421;117;70;64;3;14;12;10;1;5;150;101;95;65;36;30
22237;Dealu Morii;2461;22;13;12;0;3;2;0;1;0;26;16;15;19;-3;-4
22380;Dofteana;11130;53;32;29;3;11;9;5;1;0;73;50;47;61;-11;-14
22460;Faraoani;5172;31;19;17;0;5;4;0;0;0;36;23;21;17;6;4
22488;Filipeni;1962;19;11;10;0;0;0;5;1;5;30;22;21;11;11;10
22576;Filipeşti;4446;30;18;17;3;4;4;0;0;0;37;25;23;26;-1;-3
22665;Găiceana;2630;22;13;12;0;3;2;0;0;0;25;15;14;19;-4;-5
22718;Ghimeş-Făget;4685;30;18;17;0;0;0;0;1;0;31;19;18;27;-8;-10
22781;Gârleni;7035;40;24;22;0;7;6;0;0;0;47;30;28;18;12;10
22834;Glăvăneşti;2971;23;14;13;0;3;2;5;0;0;31;21;20;14;7;6
22898;Helegiu;6124;39;23;21;0;6;5;0;0;0;45;29;27;29;0;-2
22941;Horgeşti;5901;32;19;18;0;0;0;0;0;0;32;19;18;26;-7;-8
23047;Huruieşti;2081;22;13;12;0;3;2;5;1;1;32;22;21;15;7;6
23127;Izvoru Berheciului;1590;17;10;9;0;3;1;3;0;0;23;15;14;14;1;0
23207;Lipova;3115;22;13;12;0;0;0;0;1;0;23;14;13;22;-8;-9
23289;Livezi;5322;31;19;17;0;5;4;0;1;1;38;25;23;28;-3;-5
23350;Luizi-Călugăra;4961;30;18;17;0;5;4;0;1;0;36;23;22;20;3;2
23387;Măgireşti;3999;30;18;17;0;4;3;5;0;0;39;26;25;31;-5;-6
23449;Mănăstirea Caşin;5137;32;19;18;0;5;4;0;0;0;37;23;22;21;2;1
23494;Motoşeni;3027;23;14;13;0;0;0;0;0;0;23;14;13;11;3;2
23644;Negri;2649;22;13;12;0;3;2;0;0;0;25;15;14;19;-4;-5
23715;Nicolae Bălcescu;9997;47;28;26;0;10;8;5;1;0;63;43;40;44;-1;-4
23797;Oituz;9087;43;26;24;0;9;8;0;1;0;53;34;32;41;-7;-9
23868;Onceşti;1532;17;10;9;0;3;1;0;0;0;20;11;11;15;-4;-4
23948;Orbeni;3782;27;16;15;0;0;0;0;1;0;28;17;16;14;3;2
23975;Palanca;3176;23;14;13;3;3;3;0;1;0;30;20;19;25;-5;-6
24034;Parava;3356;23;14;13;0;0;0;0;1;1;25;16;15;24;-8;-9
24089;Parincea;3509;26;16;14;0;4;3;0;0;0;30;19;17;18;1;-1
24187;Pânceşti;4184;29;17;16;0;0;0;0;0;0;29;17;16;15;2;1
24276;Pârgăreşti;4596;30;18;17;0;0;0;0;0;0;30;18;17;15;3;2
24338;Pârjol;5869;37;22;20;0;6;5;5;1;0;49;33;31;31;2;0
24427;Plopana;3037;22;13;12;0;3;3;0;1;0;26;17;16;17;0;-1
24524;Podu Turcului;4597;30;18;17;3;5;4;0;1;0;39;26;24;38;-12;-14
24631;Poduri;7756;43;26;24;3;8;6;0;2;0;56;37;35;36;1;-1
24711;Racova;3554;24;14;13;0;0;0;0;1;0;25;15;14;21;-6;-7
24766;Răcăciuni;8215;43;26;24;5;0;0;0;1;1;50;33;31;35;-2;-4
24837;Răchitoasa;4341;30;18;17;0;5;4;0;0;0;35;22;20;22;0;-2
24999;Roşiori;2362;20;12;11;0;3;2;0;1;0;24;15;14;15;0;-1
25068;Sascut;9579;47;28;26;3;10;8;5;0;0;65;44;42;50;-6;-8
25148;Sănduleni;4452;30;18;17;0;4;4;0;2;0;36;24;22;20;4;2
25228;Săuceşti;5657;32;19;18;0;6;5;0;0;0;38;24;22;26;-2;-4
25291;Scorţeni;2878;22;13;12;0;3;2;0;0;0;25;16;14;13;3;1
25362;Secuieni;2342;20;12;11;5;3;2;5;0;0;33;24;23;19;5;4
25488;Solonţ;3321;24;14;13;0;3;3;0;1;0;28;18;17;21;-3;-4
25521;Stănişeşti;4453;30;18;17;3;4;4;5;0;0;42;30;28;17;13;11
25629;Strugari;2276;22;13;12;0;3;2;0;1;0;26;16;15;17;-1;-2
25692;Tamaşi;3213;22;13;12;3;3;3;3;1;6;38;29;28;25;4;3
25745;Tătărăşti;2290;21;13;12;0;0;0;3;1;0;25;17;16;15;2;1
25825;Târgu Trotuş;5394;32;19;18;0;0;0;5;0;0;37;24;23;22;2;1
25861;Traian;3218;22;13;12;0;3;3;0;0;0;25;16;15;11;5;4
25932;Ungureni;3760;26;16;14;0;4;3;0;1;0;31;20;18;20;0;-2
26029;Urecheşti;3457;26;16;14;0;3;3;0;2;0;31;20;19;13;7;6
26083;Valea Seacă;4425;29;17;16;0;4;4;5;1;0;39;27;26;19;8;7
26118;Vultureni;1760;18;11;10;0;3;1;5;0;0;26;17;16;15;2;1
26289;Zemeş;4521;30;18;17;0;5;4;0;1;0;36;23;21;27;-4;-6
26320;Sărata;2350;22;13;12;0;3;2;0;0;0;25;15;14;16;-1;-2
26338;Buciumi;3248;24;14;13;0;3;3;3;1;0;31;21;20;14;7;6
26346;Gioseni;4207;28;17;15;0;4;4;5;1;0;38;26;25;18;8;7
26353;Odobeşti;2358;22;13;12;0;3;2;0;0;0;25;15;14;17;-2;-3
26361;Prăjeşti;2143;22;13;12;0;3;2;5;0;0;30;20;19;16;4;3
26379;Iteşti;1508;17;10;9;0;3;1;0;0;0;20;11;11;12;-1;-1
56;CJ Bihor;609430;566;340;311;41;0;0;10;0;9;626;400;371;304;96;67
26564;Oradea;215685;700;420;385;41;216;180;10;2;0;969;653;618;586;67;32
26582;Sânmartin;13814;60;36;33;3;0;0;10;1;2;76;52;49;59;-7;-10
26653;Sântandrei;9377;43;26;24;0;9;8;10;1;5;68;50;47;31;19;16
26699;Aleşd;10995;86;52;47;6;0;0;10;2;4;108;74;69;50;24;19
26742;Aştileu;3544;25;15;14;0;4;3;5;0;0;34;23;22;16;7;6
26804;Beiuş;10557;100;60;55;8;11;9;10;1;6;136;94;89;82;12;7
26840;Ştei;6497;67;40;37;4;7;5;10;1;18;107;79;75;52;27;23
26877;Marghita;16681;155;93;85;9;17;14;10;1;0;192;127;119;85;42;34
26920;Nucet;1995;30;18;17;0;0;0;10;0;1;41;29;28;22;7;6
26975;Salonta;18107;165;99;91;7;0;0;10;2;25;209;143;135;112;31;23
